epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60518,1.09815,2.74953,1.47855,0.56743,0.85,0.8784,0.63413,1.65152,1.03281,1.38305,0,0,0
2,6.9927,1.16342,2.77788,1.4743,0.55693,0.85,0.8873,0.61849,1.66679,1.02633,1.3826,1.17822e-06,1.17822e-06,1.17822e-06
3,7.31633,1.08928,2.49696,1.2155,0.55903,0.85,0.85031,0.61527,1.67985,1.01361,1.38644,2.33288e-06,2.33288e-06,2.33288e-06
4,7.63065,1.16406,2.79291,1.48524,0.54269,0.85,0.85767,0.63734,1.66838,0.98999,1.36773,3.46397e-06,3.46397e-06,3.46397e-06
5,7.99926,1.20963,2.46662,1.61704,0.5481,0.85,0.85778,0.63682,1.66656,1.01222,1.36503,4.5715e-06,4.5715e-06,4.5715e-06
6,8.47579,0.8327,1.91759,1.1483,0.54446,0.85944,0.85848,0.62867,1.68031,1.01097,1.37146,5.65548e-06,5.65548e-06,5.65548e-06
7,9.14677,1.40683,2.75313,1.76766,0.53436,0.8643,0.85864,0.62871,1.67272,1.01916,1.3702,6.71588e-06,6.71588e-06,6.71588e-06
8,9.63845,1.24056,3.85704,1.69182,0.55684,0.86667,0.86262,0.63122,1.6724,1.02016,1.36394,7.75273e-06,7.75273e-06,7.75273e-06
9,10.0915,0.91266,2.97629,1.27483,0.54444,0.86667,0.89709,0.63297,1.6764,1.02669,1.36178,8.76602e-06,8.76602e-06,8.76602e-06
10,10.5637,1.08034,2.19843,1.29561,0.53284,0.86667,0.89477,0.64245,1.67592,1.03274,1.36126,9.75574e-06,9.75574e-06,9.75574e-06
11,11.041,1.17274,2.26255,1.55729,0.64368,0.9443,0.91156,0.64964,1.66671,1.03762,1.35641,1.07219e-05,1.07219e-05,1.07219e-05
12,11.4943,1.01405,2.35565,1.39578,0.6495,0.94449,0.91094,0.64532,1.66391,1.0481,1.35389,1.16645e-05,1.16645e-05,1.16645e-05
